"","CASEID","NEWRACE2","IRSEX","CATAG6","MJEVER"
"385",385,7,1,2,1
"386",386,1,2,3,2
"387",387,1,2,5,2
"388",388,1,1,6,2
"389",389,1,2,3,1
"390",390,1,1,4,1
"391",391,2,1,5,1
"392",392,1,2,2,2
"393",393,1,1,2,2
"394",394,7,2,4,1
"395",395,1,2,4,1
"396",396,7,2,4,2
"397",397,7,2,2,2
"398",398,1,1,3,1
"399",399,7,1,2,1
"400",400,7,1,4,1
"401",401,1,2,2,2
"402",402,7,2,1,2
"403",403,2,2,2,2
"404",404,7,2,2,2
"405",405,6,2,3,1
"406",406,2,2,4,2
"407",407,2,2,5,1
"408",408,1,2,4,1
"409",409,7,1,1,2
"410",410,1,1,2,1
"411",411,7,2,3,1
"412",412,1,1,5,1
"413",413,5,2,4,2
"414",414,7,2,2,1
"415",415,7,2,1,2
"416",416,5,2,1,2
"417",417,2,1,2,2
"418",418,1,2,3,1
"419",419,7,1,5,1
"420",420,1,1,4,2
"421",421,1,2,4,1
"422",422,1,1,4,1
"423",423,2,1,1,2
"424",424,2,2,1,2
"425",425,1,2,2,1
"426",426,1,2,6,2
"427",427,1,2,6,1
"428",428,6,1,1,2
"429",429,1,2,3,2
"430",430,1,2,1,1
"431",431,1,1,3,2
"432",432,3,2,4,1
"433",433,2,1,3,1
"434",434,1,2,1,2
"435",435,5,2,1,2
"436",436,1,2,3,1
"437",437,1,1,1,2
"438",438,1,1,4,2
"439",439,1,2,1,2
"440",440,7,1,1,2
"441",441,1,1,2,1
"442",442,3,1,1,2
"443",443,1,2,2,2
"444",444,7,2,4,2
"445",445,2,2,5,2
"446",446,1,2,2,1
"447",447,1,2,6,2
"448",448,1,2,1,2
"449",449,1,2,4,1
"450",450,1,1,5,1
"451",451,7,2,2,1
"452",452,2,1,6,1
"453",453,4,2,3,1
"454",454,7,1,3,1
"455",455,5,2,1,1
"456",456,1,1,5,2
"457",457,2,2,1,2
"458",458,1,2,5,1
"459",459,6,2,2,1
"460",460,1,2,3,1
"461",461,6,1,2,2
"462",462,1,2,6,2
"463",463,7,1,3,2
"464",464,1,1,4,1
"465",465,7,1,1,2
"466",466,1,1,4,1
"467",467,1,1,2,2
"468",468,1,1,2,1
"469",469,1,1,1,2
"470",470,1,2,2,1
"471",471,7,2,4,2
"472",472,7,1,1,2
"473",473,2,2,2,2
"474",474,1,1,1,2
"475",475,7,1,4,2
"476",476,1,2,1,2
"477",477,1,2,4,2
"478",478,1,2,2,1
"479",479,2,2,2,2
"480",480,1,2,3,1
"481",481,1,2,4,1
"482",482,1,1,1,1
"483",483,1,2,1,2
"484",484,7,1,3,2
"485",485,1,2,5,2
"486",486,1,1,3,1
"487",487,1,2,4,1
"488",488,7,1,2,1
"489",489,1,1,1,2
"490",490,1,1,3,1
"491",491,1,2,5,2
"492",492,7,2,1,2
"493",493,7,1,2,2
"494",494,1,2,4,1
"495",495,1,1,2,2
"496",496,4,1,4,2
"497",497,1,2,2,2
"498",498,7,2,4,1
"499",499,1,2,4,1
"500",500,1,2,2,2
"501",501,1,1,2,2
"502",502,1,2,4,1
"503",503,1,1,3,1
"504",504,1,2,4,1
"505",505,1,1,1,2
"506",506,1,2,5,1
"507",507,1,2,2,1
"508",508,1,2,4,2
"509",509,1,1,2,2
"510",510,1,2,5,1
"511",511,1,1,2,1
"512",512,1,1,2,2
"513",513,1,1,1,1
"514",514,1,1,6,2
"515",515,1,1,6,2
"516",516,2,2,2,1
"517",517,7,1,1,2
"518",518,1,1,1,2
"519",519,7,2,1,2
"520",520,1,1,5,2
"521",521,1,2,3,1
"522",522,1,1,5,1
"523",523,1,2,4,1
"524",524,1,1,1,2
"525",525,2,2,4,1
"526",526,1,2,3,1
"527",527,1,2,4,2
"528",528,1,1,3,2
"529",529,1,2,1,2
"530",530,7,2,3,2
"531",531,1,2,2,2
"532",532,6,2,1,2
"533",533,2,1,3,2
"534",534,1,1,4,1
"535",535,1,1,3,1
"536",536,1,1,3,1
"537",537,2,1,3,2
"538",538,7,1,4,2
"539",539,1,1,1,1
"540",540,1,2,2,1
"541",541,1,1,1,1
"542",542,1,1,3,2
"543",543,1,2,2,1
"544",544,1,1,3,2
"545",545,1,2,3,1
"546",546,1,1,4,1
"547",547,2,2,1,2
"548",548,1,2,4,1
"549",549,3,2,1,2
"550",550,7,1,4,2
"551",551,1,1,3,2
"552",552,1,2,5,1
"553",553,1,2,2,1
"554",554,2,2,2,2
"555",555,7,2,2,2
"556",556,1,1,4,1
"557",557,1,1,1,2
"558",558,7,2,2,1
"559",559,7,2,3,1
"560",560,7,2,5,2
"561",561,7,1,4,2
"562",562,1,2,1,2
"563",563,5,2,2,2
"564",564,1,1,3,1
"565",565,1,1,1,2
"566",566,1,1,4,1
"567",567,7,2,3,1
"568",568,1,2,3,2
"569",569,2,2,4,1
"570",570,1,2,3,1
"571",571,6,2,1,2
"572",572,1,1,2,2
"573",573,1,2,4,2
